nome_municipio,nome_profissao,total_trabalhadores,salario_medio
Itapetininga,Motorista De Furgão Ou Veículo Similar,177,1967.9
Araçatuba,Motofretista,177,1837.67
Itapeva,Vigia,176,2129.22
Piedade,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,176,1344.58
Itu,Eletricista De Manutenção Eletroeletrônica,173,3782.32
Itu,Gerente De Vendas,173,9889.89
Porto Feliz,"Costureiro, A  Máquina  Na Confecção Em Série",173,1615.26
Cabreúva,Mãe Social,173,1375.42
Americana,Gerente De Contas - Pessoa Física E Jurídica,172,7107.02
Macatuba,Trabalhador Da Cultura De Cana-De-Açúcar,172,1807.79
Pindamonhangaba,Operador De Aciaria (Recebimento De Gusa),172,4697.94
